%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1581113097550341075,1,1581113097550163030,,0.858798776986,-0.00214711877832,-0.509806855436,0.860283659649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000846,-0.000353,-0.001059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.072,0.021,-9.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097573371916,2,1581113097573271989,,0.858798776986,-0.00215464450038,-0.509799340346,0.860288083461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000524,-0.000829,0.001763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.013,-9.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097597972392,3,1581113097597875118,,0.858812194268,-0.00215162230669,-0.509784314331,0.860297024307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000942,0.000445,0.001309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049,0.022,-9.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097622951791,4,1581113097622839927,,0.858807718396,-0.00215468112513,-0.509784325408,0.860296981007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001364,0.000147,-0.002034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038,-0.002,-9.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097647824668,5,1581113097647672891,,0.858789840579,-0.00215905684442,-0.509814336306,0.860279203933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000921,-0.000453,-0.001935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046,0.025,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097673529520,6,1581113097673423051,,0.858780893381,-0.0021545712489,-0.509829369754,0.860270287583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001097,-0.000114,-0.000516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058,0.028,-9.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097697962383,7,1581113097697856903,,0.858794306183,-0.00215462618776,-0.509806847756,0.86028363459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000926,-2.5e-05,0.001414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046,-0.011,-9.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097723177581,8,1581113097723073005,,0.858789835314,-0.00215460787497,-0.509814355127,0.860279185653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001226,0.001117,0.001997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.005,-9.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097748066341,9,1581113097747926950,,0.858767490454,-0.00216341490245,-0.509851853722,0.860256976483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001101,0.000114,-0.000611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.077,-0.003,-9.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097772825748,10,1581113097772666931,,0.858763019193,-0.00217092207862,-0.509851845871,0.860256951436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000218,-0.00104,-0.003073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028,0.023,-9.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097805340507,11,1581113097804883956,,0.858758547867,-0.00217090385705,-0.509859353009,0.860252502106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000393,-0.001312,-0.000815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.073,-0.01,-9.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097824120318,12,1581113097823853969,,0.858758542668,-0.00216645449475,-0.509859371935,0.860252483852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000235,-0.000663,-0.000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.063,0.027,-9.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097849157833,13,1581113097849024057,,0.858763013994,-0.00217399828367,-0.509844349794,0.860261357295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000318,3.3e-05,-0.001344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033,0.003,-9.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
