%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581113223637058525,1,1581113223636616945,,0.1926,0.1149,0.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223661787880,2,1581113223661432027,,0.1916,0.115,0.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223687444072,3,1581113223687202930,,0.1945,0.1149,0.3866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223711245435,4,1581113223710959911,,0.1917,0.1229,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223737129504,5,1581113223736812114,,0.1907,0.118,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223762105137,6,1581113223761807918,,0.1926,0.1189,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223787192575,7,1581113223786902904,,0.1907,0.118,0.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223812278658,8,1581113223812009096,,0.1916,0.1189,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223837303104,9,1581113223837033033,,0.1917,0.1239,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223862157657,10,1581113223861802101,,0.1926,0.1159,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223887085891,11,1581113223886734962,,0.1907,0.117,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223913238079,12,1581113223912451982,,0.1916,0.1189,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223937417254,13,1581113223937167882,,0.1935,0.1179,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223962217948,14,1581113223961919069,,0.1906,0.115,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113223987393213,15,1581113223987116098,,0.1935,0.1179,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224012031337,16,1581113224011739969,,0.1926,0.1179,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224037758720,17,1581113224037516117,,0.1916,0.1189,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224062438433,18,1581113224061908006,,0.1916,0.114,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224087517019,19,1581113224087225914,,0.1926,0.1209,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224112190200,20,1581113224111871957,,0.1917,0.1209,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224137158216,21,1581113224136851072,,0.1945,0.1159,0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224161969454,22,1581113224161689043,,0.1907,0.119,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224186975281,23,1581113224186690092,,0.1935,0.1159,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224211962237,24,1581113224211685895,,0.1887,0.1151,0.3852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224237574419,25,1581113224237343072,,0.1926,0.1149,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224262493117,26,1581113224262238025,,0.1907,0.117,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113224287622845,27,1581113224287389993,,0.1926,0.1189,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
