%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580869114408879908,1,1580869114407943964,,42.3370316667,-71.0898333333,15.1,327837.651815,4689312.66364,19,T
1580869115388405889,2,1580869115387834072,,42.3370316667,-71.0898333333,15.1,327837.651815,4689312.66364,19,T
1580869116382720470,3,1580869116382128953,,42.3370316667,-71.0898333333,15.1,327837.651815,4689312.66364,19,T
1580869117381287870,4,1580869117380752086,,42.3370316667,-71.0898333333,15.1,327837.651815,4689312.66364,19,T
1580869118388252466,5,1580869118387511968,,42.3370316667,-71.0898333333,15.1,327837.651815,4689312.66364,19,T
1580869119403771075,6,1580869119402811050,,42.3370316667,-71.0898333333,15.2,327837.651815,4689312.66364,19,T
1580869120381199694,7,1580869120380261898,,42.3370316667,-71.0898333333,15.2,327837.651815,4689312.66364,19,T
1580869121380794078,8,1580869121380198955,,42.3370316667,-71.0898316667,15.2,327837.789122,4689312.66027,19,T
1580869122382773311,9,1580869122382594108,,42.3370316667,-71.0898316667,15.2,327837.789122,4689312.66027,19,T
1580869123381847307,10,1580869123381290912,,42.3370316667,-71.0898316667,15.2,327837.789122,4689312.66027,19,T
1580869124402739468,11,1580869124402560949,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869125401271522,12,1580869125400635004,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869126382936288,13,1580869126382673978,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869127382559318,14,1580869127381917953,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869128382663075,15,1580869128382069110,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869129384987733,16,1580869129384212017,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869130381842671,17,1580869130381256103,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869131381559001,18,1580869131380786895,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869132381363521,19,1580869132380727052,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869133381223910,20,1580869133380542993,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869134392253031,21,1580869134391556978,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869135382239873,22,1580869135381628990,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869136383933744,23,1580869136383301973,,42.3370316667,-71.0898316667,15.3,327837.789122,4689312.66027,19,T
1580869137381045879,24,1580869137380525112,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869138381577424,25,1580869138380975961,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869139394037825,26,1580869139393388032,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869140382404560,27,1580869140381827116,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869141381018823,28,1580869141380492925,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869142381882030,29,1580869142381254911,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869143381800787,30,1580869143381234884,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869144381276452,31,1580869144380666971,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869145380914428,32,1580869145380383014,,42.3370316667,-71.0898316667,15.4,327837.789122,4689312.66027,19,T
1580869146382246035,33,1580869146381690979,,42.3370316667,-71.0898316667,15.5,327837.789122,4689312.66027,19,T
1580869147381614093,34,1580869147381045103,,42.3370316667,-71.0898316667,15.5,327837.789122,4689312.66027,19,T
