%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869115804274178,8,1580869115801453113,,-0.1822,0.0355,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115827149446,9,1580869115826210021,,-0.1811,0.0331,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115852681517,10,1580869115851643085,,-0.1798,0.0366,0.3434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115877437440,11,1580869115876377105,,-0.1811,0.0318,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115903100712,12,1580869115902072906,,-0.1787,0.0354,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115926894317,13,1580869115926275014,,-0.181,0.0391,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115952642607,14,1580869115951529979,,-0.1822,0.0391,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869115978683214,15,1580869115976541996,,-0.1822,0.0343,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116002708504,16,1580869116001306056,,-0.181,0.0355,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116027757957,17,1580869116026597023,,-0.1822,0.0391,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116052230214,18,1580869116051184892,,-0.1811,0.0319,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116077593311,19,1580869116076612949,,-0.1834,0.0343,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116102538220,20,1580869116101490974,,-0.181,0.0343,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116127431498,21,1580869116126281976,,-0.1833,0.0391,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116152933142,22,1580869116151437997,,-0.181,0.0379,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116177524685,23,1580869116176525115,,-0.1822,0.0331,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116202364486,24,1580869116201214075,,-0.1845,0.038,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116227303190,25,1580869116226371049,,-0.1822,0.0379,0.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116252408987,26,1580869116251341104,,-0.1811,0.0331,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116277439080,27,1580869116276510000,,-0.1799,0.0318,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116302305730,28,1580869116301291942,,-0.1811,0.0294,0.3461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116327311239,29,1580869116326308965,,-0.181,0.0403,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116352118456,30,1580869116350950002,,-0.1822,0.0343,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116377054325,31,1580869116375967979,,-0.1787,0.0366,0.3434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116402365223,32,1580869116401082038,,-0.1846,0.032,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116427280021,33,1580869116426126956,,-0.181,0.0379,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116452035642,34,1580869116450982093,,-0.1775,0.0402,0.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116477081034,35,1580869116476165056,,-0.181,0.0355,0.3461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116502684340,36,1580869116501049995,,-0.181,0.0343,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116528106852,37,1580869116526098012,,-0.1845,0.0368,0.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116552259595,38,1580869116551261901,,-0.1834,0.0319,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116576952425,39,1580869116575927972,,-0.181,0.0403,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116602140762,40,1580869116600997924,,-0.1834,0.0355,0.3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116626776471,41,1580869116625756025,,-0.181,0.0367,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116653009409,42,1580869116651191949,,-0.1833,0.0367,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116677393557,43,1580869116676028013,,-0.1834,0.0331,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116702754567,44,1580869116701611042,,-0.181,0.0391,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116727000856,45,1580869116725914001,,-0.1822,0.0367,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116751906474,46,1580869116750828981,,-0.1845,0.0332,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116777802910,47,1580869116775899887,,-0.1821,0.0415,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116801101521,48,1580869116800561904,,-0.1845,0.0404,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116826783489,49,1580869116825766086,,-0.181,0.0355,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116852263330,50,1580869116851035118,,-0.1822,0.0331,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116876926344,51,1580869116875967979,,-0.1809,0.0439,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116901775523,52,1580869116900752067,,-0.1834,0.0331,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116925970092,53,1580869116925461053,,-0.1799,0.0366,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116951748851,54,1580869116950603008,,-0.1834,0.0343,0.3473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869116977402293,55,1580869116976280927,,-0.1845,0.0356,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117001874987,56,1580869117000742912,,-0.1833,0.0415,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117026870636,57,1580869117025783061,,-0.181,0.0415,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117052070349,58,1580869117051018953,,-0.1822,0.0343,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117076860936,59,1580869117075843095,,-0.1822,0.0331,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117101998877,60,1580869117101386070,,-0.181,0.0343,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117127967399,61,1580869117126843929,,-0.1822,0.0343,0.3351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117152588485,62,1580869117151463031,,-0.1834,0.0343,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117176754570,63,1580869117175498008,,-0.1787,0.0366,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117202588486,64,1580869117201482057,,-0.1822,0.0343,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117228003411,65,1580869117226953983,,-0.1809,0.0427,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117252708926,66,1580869117251636028,,-0.1811,0.033,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117276906461,67,1580869117276211023,,-0.1822,0.0367,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117302587437,68,1580869117301445960,,-0.1822,0.0367,0.3487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117327768444,69,1580869117326584100,,-0.1833,0.0391,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117353031871,70,1580869117351871013,,-0.1846,0.0307,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117377461832,71,1580869117376355886,,-0.1787,0.0378,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117402982224,72,1580869117401868104,,-0.1821,0.0415,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117427351511,73,1580869117426284074,,-0.1822,0.0331,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117452545771,74,1580869117451411962,,-0.1811,0.0318,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117477532816,75,1580869117476538896,,-0.1798,0.039,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117502095576,76,1580869117501085042,,-0.181,0.0331,0.3488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117527737066,77,1580869117526485919,,-0.181,0.0343,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117552335146,78,1580869117551080942,,-0.1834,0.0331,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117578068588,79,1580869117576926946,,-0.1811,0.0331,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117602276974,80,1580869117601083993,,-0.1833,0.0427,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117627334756,81,1580869117626200914,,-0.1822,0.0355,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117652566654,82,1580869117651241064,,-0.1834,0.0295,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117677741767,83,1580869117676690101,,-0.1833,0.0391,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117702655193,84,1580869117701376914,,-0.1822,0.0331,0.3501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117727090231,85,1580869117726042985,,-0.1798,0.0426,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117753080592,86,1580869117751765012,,-0.181,0.0415,0.3488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117777466068,87,1580869117776338100,,-0.1833,0.0367,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117802236286,88,1580869117801167011,,-0.1834,0.0343,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117826886024,89,1580869117825889110,,-0.1798,0.0366,0.3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117852557658,90,1580869117851036071,,-0.1845,0.0356,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117877131350,91,1580869117876044034,,-0.181,0.0342,0.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117902126468,92,1580869117901053905,,-0.1822,0.0331,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869117927069077,93,1580869117925991058,,-0.1822,0.0331,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
