%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1581113386793504345,1,1581113386793351888,,0.864185731139,-0.00300960625532,-0.499313023705,0.866408502707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001486,0.001656,0.000791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.074,0.039,-9.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386818175690,2,1581113386818063020,,0.864185718207,-0.00299765562897,-0.499320617184,0.866404154124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001176,0.001783,-0.000399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.101,0.019,-9.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386843491723,3,1581113386843374013,,0.864168166664,-0.00300188372109,-0.499350833913,0.866386756378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000327,0.000987,0.00088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079,0.023,-9.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386868173643,4,1581113386868058919,,0.864172570748,-0.00300627363897,-0.499343247028,0.866391146295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-06,-2.8e-05,0.000326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.04,-9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386893073626,5,1581113386892929077,,0.864159396898,-0.00301376979782,-0.499358361782,0.866382389882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001737,-0.000704,-0.000528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102,0.028,-9.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386918285115,6,1581113386918149948,,0.864159396898,-0.00302136281267,-0.499350794566,0.866386706408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6e-05,-0.001198,2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.096,0.038,-9.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386943493174,7,1581113386943377971,,0.86414620959,-0.00301690794763,-0.499373502692,0.866373600769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001317,0.001201,0.000436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079,0.044,-9.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386968403993,8,1581113386968262910,,0.864154992617,-0.00300937970956,-0.499365948657,0.866377999793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06,-0.000381,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.073,0.025,-9.621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386993550926,9,1581113386993423938,,0.864154992617,-0.00301697275265,-0.499358381544,0.866382316348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000439,0.000187,0.000759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.097,0.004,-9.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387018045633,10,1581113387017891883,,0.86414620959,-0.00300931498014,-0.499381069729,0.866369284082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3e-05,9.7e-05,-0.000603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.073,0.035,-9.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
