%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581113386793911797,1,1581113386793355941,,0.1917,0.1249,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386818387205,2,1581113386818067073,,0.1897,0.115,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386843618116,3,1581113386843377113,,0.1925,0.114,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386868353205,4,1581113386868062973,,0.1906,0.115,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386893198599,5,1581113386892931938,,0.1925,0.112,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386918416062,6,1581113386918154001,,0.1907,0.117,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386943636158,7,1581113386943382024,,0.1926,0.1159,0.3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386968549699,8,1581113386968266963,,0.1907,0.119,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113386993683316,9,1581113386993427991,,0.1926,0.1189,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387018178728,10,1581113387017895936,,0.1935,0.1159,0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387043282882,11,1581113387042989969,,0.1916,0.1189,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387068470615,12,1581113387068172931,,0.1906,0.115,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387093881959,13,1581113387093601942,,0.1916,0.115,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387118315406,14,1581113387118047952,,0.1906,0.116,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387143434923,15,1581113387143050909,,0.1897,0.117,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387168199843,16,1581113387167933940,,0.1887,0.1151,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387193625458,17,1581113387193394899,,0.1917,0.1209,0.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387218438289,18,1581113387218133926,,0.1906,0.116,0.3808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387243737797,19,1581113387243463039,,0.1926,0.1209,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
